news_outlet,provenance,query_keywords,creation_date,last_modified,crawl_date,author_person,author_organization,news_keywords,content_title,content_description,content_body
ntv,https://www.n-tv.de/sport/Wollte-nur-kurz-sagen-dass-ich-schwul-bin-article22635265.html,"ns, us, familie, schi, ss, sp, gleichberechtigung",22.06.2021,22.06.2021,21.10.2024,,"ntv.de, tsi/dpa","Sport, NFL, American Football, Homosexualität, USA","""Wollte nur kurz sagen, dass ich schwul bin""","Mehr als sein halbes Leben lang hat Carl Nassib dieser Moment ""traurigerweise"" gequält. Nun verkündet der NFL-Profi der Las Vegas Raiders, dass er schwul ist. Die Reaktion seines Umfelds sei durchweg positiv gewesen, berichtet Nassib und spendet im gleichen Zug 100.000 Dollar.",
ntv,https://www.n-tv.de/panorama/Was-Impfskeptiker-wirklich-ueberzeugt-article22731808.html,"ns, impfstoff, us, sp, amerika, familie, querdenker, usa, ss, spo, corona",10.08.2021,11.10.2022,21.10.2024,Sarah Platz,ntv.de,"International, Corona-Impfung, Corona-Krise, Sars-Cov-2, Covid-19, Pandemien, Corona-Maßnahmen, Psychologie, Ständige Impfkommission, Impfung",Was Impfskeptiker wirklich überzeugt,"Die Inzidenzen steigen und Delta befeuert die vierte Corona-Welle in Deutschland. Trotzdem steckt die Impfkampagne in einem Tief. Um die Ungeimpften zum Piks zu bewegen, lockt der Staat mit Wurst und Getränken. Wirklich überzeugend sind jedoch ganz andere Maßnahmen, sagen Experten.",
ntv,https://www.n-tv.de/panorama/Impfquote-in-Deutschland-ist-klar-zu-niedrig-article22798398.html,"ns, impfstoff, us, regierung, schi, christ, ss, rki, sp, corona",12.09.2021,12.09.2021,21.10.2024,,"ntv.de, Josefine Kaukemüller, dpa","International, Corona-Impfung, Impfung, B.1.617.2, Pandemien, Robert Koch-Institut, Charité, Lothar Wieler",Impfquote in Deutschland ist klar zu niedrig,"Bund und Länder wollen ab nächster Woche viele niedrigschwellige Impfangebote machen. Ziel ist die deutliche Steigerung der Impfquote. Beim bisherigen Tempo stehe Deutschland ein ""fulminanter Verlauf"" im Herbst bevor, sagt RKI-Chef Wieler. Modellberechnungen zeigen mögliche Ausmaße.",
ntv,https://www.n-tv.de/politik/Merkel-Lassen-Sie-sich-impfen-Jetzt-article22798684.html,"ns, impfstoff, us, politik, usa, ss, rki, cdu, sp, corona, angela merkel",12.09.2021,13.09.2021,21.10.2024,,"ntv.de, kst/rts","Politik, Corona-Impfung, Impfung, Angela Merkel, Coronaviren",Merkel: Lassen Sie sich impfen. Jetzt,"Die Impfkampagne in Deutschland stockt. Bundeskanzlerin Merkel richtet einem dringenden Appell an alle, die noch keinen Piks gegen Covid-19 erhalten haben: ""Schützen Sie sich selbst und andere."" Ausreichend zuverlässiger und wirksamer Impfstoff sei vorhanden, so Merkel.",
ntv,https://www.n-tv.de/sport/fussball/Harte-Frage-verfolgt-Suele-jetzt-schon-beim-BVB-article23561481.html,"ns, us, spo, ss, sp",01.09.2022,01.09.2022,21.10.2024,,"ntv.de, tsi/sid","Fußball, Niklas Süle, Borussia Dortmund, Fußball",Harte Frage verfolgt Süle jetzt schon beim BVB,"Als Stammkraft für die Innenverteidigung ist Niklas Süle bei Borussia Dortmund eingeplant. Allerdings verletzt sich der ehemalige Bayern-Profi schnell, ist aktuell nur Ersatzspieler. Das löst einmal mehr Diskussionen aus, ob die Fitness des 26-Jährigen für höchste Ansprüche ausreicht.",
ntv,https://www.n-tv.de/politik/Antisemitischer-Mob-Kadyrow-gibt-Schiessbefehl-article24499930.html,"ns, us, politik, regierung, schi, ss, demo, sp",31.10.2023,31.10.2023,20.10.2024,,"ntv.de, lar/dpa","Politik, Ramsan Kadyrow, Tschetschenien, Polizei, Demonstrationen, Proteste, Gewalt",Antisemitischer Mob: Kadyrow gibt Schießbefehl,In Dagestan stürmt ein Mob den Flughafen und attackiert jüdische Passagiere. Machthaber Kadyrow duldet solche Unruhen in Tschetschenien nicht und erteilt einen Schießbefehl gegen Aufsässige. Zuerst sollen Polizisten noch Warnschüsse abgeben. ,
ntv,https://www.n-tv.de/sport/fussball-em/Osterreich-bucht-K-o-Duell-mit-DFB-Frauen-article23467780.html,"ns, us, europa, schi, ss, sp, corona",15.07.2022,15.07.2022,21.10.2024,,"ntv.de, chr/dpa","DFB, Europameisterschaften, DFB-Frauen, Frauenfußball",Österreich bucht K.-o.-Duell mit DFB-Frauen,Österreich steht im Viertelfinale der Fußball-Europameisterschaft der Frauen. Das Austria-Team gewinnt am letzten Spieltag der Vorrunde bei enttäuschenden Norwegerinnen. Für die DFB-Frauen kommt es damit zum Nachbarschaftsduell.,
ntv,https://www.n-tv.de/sport/fussball-em/DFB-Elfinnen-verzaubern-mit-Kopf-und-Popp-article23469094.html,"ns, us, europa, schi, ss, frankreich, sp, corona",16.07.2022,17.07.2022,21.10.2024,,"ntv.de, sue/dpa","Martina Voss-Tecklenburg, DFB-Frauen, Europameisterschaften",DFB-Elfinnen verzaubern mit Kopf und Popp,Im letzten Gruppenspiel der Fußball-Europameisterschaft in England kann Bundestrainerin Voss-Tecklenburg experimentieren. Der souveräne Erfolg gegen Finnland wird zum Debütantinnenball in Milton Keynes. Kapitänin Popp trifft schon wieder. Mit dem Kopf. Deutschland steht jetzt bei fünf Kopfballtreffern.,
ntv,https://www.n-tv.de/politik/Gerhard-Schroeder-gibt-Posten-bei-Rosneft-auf-article23346275.html,"ns, us, sp, rna, politik, regierung, schi, ukraine, spd, christ, ss, spo, krieg, olaf scholz",20.05.2022,20.05.2022,21.10.2024,,"ntv.de, mau/chl/dpa/AFP/rts","Politik, Gerhard Schröder, Rosneft, Angriff auf die Ukraine, Russland, SPD",Gerhard Schröder gibt Posten bei Rosneft auf,"Nun also doch: Der massiv in der Kritik stehende Altkanzler Schröder verlässt den russischen Ölkonzern Rosneft. Es sei ihm unmöglich, sein Mandat im Aufsichtsrat zu verlängern.  Derweil spricht sich Kanzler Scholz gegen den Vorschlag des EU-Parlaments aus, Schröder auf die Sanktionsliste zu setzen.   ",
ntv,https://www.n-tv.de/politik/Kritik-an-FDP-Vize-Kubicki-fuer-Schroeder-Beistand-article23349688.html,"ns, us, europa, sp, politik, ukraine, spd, ss, linke, csu, spo, fdp, krieg, olaf scholz",22.05.2022,24.05.2022,21.10.2024,,"ntv.de, mau/AFP","Politik, Gerhard Schröder, Rosneft, Gazprom, Wolfgang Kubicki, SPD, CSU, Bündnis 90/Die Grünen",Kubickis Schröder-Beistand kommt schlecht an,"Der Rückzug des Altkanzlers kommt spät und auf Raten. FDP-Vize Kubicki reicht Schröders Verzicht auf den Job bei Rosneft, alles andere wäre eine Demütigung. Das sehen Politiker von SPD, CSU und Grünen ganz anders und verlangen ein ""Ende des Trauerspiels"".",
